Feeding guild,Feeding guild2,Scientific name,Plot number,N,14_08A_CH,14_08A_CON1,14_08A_GM,14_08A_CON,14_08A_RC,14_08B_CON1,14_08B_GM,14_08B_CON2,14_08B_CH,14_08B_CON3,18_08A_CON1,18_08A_RC,18_08A_CON2,18_08A_BC,18_08A_CON3,18_08A_GM,18_08A_CON4,18_08B_CH,18_08B_CON1,18_08B_GM,18_08B_CON2,18_08B_BC,18_08B_CON3,18_08B_RC,19_08A_GM,19_08A_CON1,19_08A_RC,19_08A_CON2,19_08A_RCO,19_08B_CON1,19_08B_RC,19_08B_CON2,19_08B_GM,19_08B_CON3,20_08A_CON1,20_08A_GM,20_08A_CON2,20_08A_BC,20_08A_CON3,20_08A_RCO,20_08B_RC,20_08B_CON1,20_08B_RCO,20_08B_CON2,20_08B_BC,20_08B_CON3
,,,Day,,14_08,14_08,14_08,14_08,14_08,14_08,14_08,14_08,14_08,14_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,18_08,19_08,19_08,19_08,19_08,19_08,19_08,19_08,19_08,19_08,19_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08,20_08
,,,Net,,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,B
,,,Stimuli,,CH,CON1,GM,CON,RC,CON1,GM,CON2,CH,CON3,CON1,RC,CON2,BC,CON3,GM,CON4,CH,CON1,GM,CON2,BC,CON3,RC,GM,CON1,RC,CON2,RCO,CON1,RC,CON2,GM,CON3,CON1,GM,CON2,BC,CON3,RCO,RC,CON1,RCO,CON2,BC,CON3
,,,Playback code,,CH_1,SIL,OGM_2,SIL,ORC_2,SIL,OGM_1,SIL,CH_2,SIL,SIL,NRC_1,SIL,NBC_1,SIL,NGM_2,SIL,CH_1,SIL,NGM_1,SIL,NBC_2,SIL,NRC_2,NGM_4,SIL,NRC_4,SIL,RCO_2,SIL,NRC_3,SIL,NGM_2,SIL,SIL,NGM_3,SIL,NBC_1,SIL,RCO_4,NRC_5,SIL,RCO_3,SIL,NBC_3,SIL
,,,Monkey present,,GM,0,0,0,0,0,GM,GM,0,0,0,0,0,0,0,0,0,0,0,RC,0,0,0,0,0,BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RTM,0,0,BC,BC,0
,,,Start time [day_order],,14_3,14_4,14_5,14_6,14_7,14_3,14_4,14_5,14_6,14_7,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_1,18_2,18_3,18_4,18_5,18_6,18_7,19_1,19_2,19_3,19_4,19_5,19_1,19_2,19_3,19_4,19_5,20_1,20_2,20_3,20_4,20_5,20_6,20_1,20_2,20_3,20_4,20_5,20_6
,,,Start time [s from the start of the recording],,08:45,09:20,09:55,10:30,11:05,08:45,09:20,09:55,10:30,11:05,2083.811,4143.869,6240.892,8409.759,10486.538,13504.803,15586.966,2308.243,4380.323,6502.123,8631.284,10652.944,13680.956,15861.735,08:55,09:30,10:05,10:40,11:15,08:55,09:30,10:05,10:40,11:15,1684.674,3843.319,6123.770,8073.480,10135.085,12197.210,1971.741,4120.154,6181.721,8356.986,10392.969,12538.712
F,I,Gymnobucco bonapartei,Grey-throated Barbet,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,I,Pogoniulus bilineatus,Yellow-rumped Tinkerbird,33,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
F,,Bycanistes subcylindricus,Black-and-white-casqued Hornbill,22,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1
F,,Corythaeola cristata,Great Blue Turaco,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
I,F,Ceuthmochares aereus,Blue Malkoha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,F,Oriolus brachyrynchus,Western Black-headed Oriole,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
I,F,Pogoniulus subsulphureus,Yellow-throated Tinkerbird,12,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
I,O,Cuculus solitarius,Red-chested Cuckoo,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1
I,O,Halcyon malimbica,Blue-breasted Kingfisher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Alethe castanea,Fire-crested Alethe,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
I,,Apalis rufogularis,Buff-throated Apalis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I,,Bathmocercus rufus,Black-faced Rufous-Warbler,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
I,,Camaroptera brachyura,Green-backed Camaroptera,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
I,,Cercococcyx mechowi,Dusky Long-tailed Cuckoo,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
I,,Chrysococcyx cupreus,African Emerald Cuckoo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Cossypha cyanocampter,Blue-shouldered Robin-Chat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Dyaphorophyia castanea,Chestnut Wattle-eye,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Fraseria griseigularis,Gray-throated Tit-Flycatcher,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Illadopsis albipectus,Scaly-breasted Illadopsis,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
I,,Illadopsis fulvescens,Brown Illadopsis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I,,Illadopsis rufipennis,Pale-breasted Illadopsis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Laniarius luehderi,Lühder's Bushshrike,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
I,,Stizorhina fraseri,Rufous Flycatcher-Thrush,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,,Sylvietta virens,Green Crombec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
I,,Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N,I,Cyanomitra cyanolaema,Blue-throated Brown Sunbird,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N,I,Cyanomitra olivacea,Olive Sunbird,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Baeopogon indicator,Honeyguide Greenbul,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Bleda syndactyla,Red-tailed Bristlebill,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
O,,Camaroptera chloronota,Olive-green Camaroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Eurillas curvirostris,Plain Greenbul,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
O,,Eurillas latirostris,Yellow-whiskered Greenbul,18,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
O,,Eurillas virens,Little Greenbul,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Nicator chloris,Western Nicator,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
O,,Sarothrura pulchra,White-spotted Flufftail,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Sheppardia polioptera,Grey-winged Robin-Chat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Tricholaema hirsuta,Hairy-breasted Barbet,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,,Turtur tympanistria,Tambourine Dove,19,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
